"reef_name","report_year","group_code","mean_cover"
"hyde_reef",1995,"ab",0.740587610871587
"hyde_reef",1995,"ca",4.73743166344586
"hyde_reef",1995,"hc",17.5983133949665
"hyde_reef",1995,"ma",0.666267689188582
"hyde_reef",1995,"ot",2.11729956243141
"hyde_reef",1995,"sc",44.7131865955395
"hyde_reef",1995,"sp",10.4912117857351
"hyde_reef",1995,"ta",18.9740158740666
"hyde_reef",1996,"ab",1.80284757118928
"hyde_reef",1996,"ca",5.53718592964824
"hyde_reef",1996,"hc",18.2500837520938
"hyde_reef",1996,"ma",1.06733668341709
"hyde_reef",1996,"ot",3.63618090452261
"hyde_reef",1996,"sc",43.6422110552764
"hyde_reef",1996,"sp",9.91340033500838
"hyde_reef",1996,"ta",16.251256281407
"hyde_reef",1997,"ab",2.60175438596491
"hyde_reef",1997,"ca",11.5912280701754
"hyde_reef",1997,"hc",18.7526315789474
"hyde_reef",1997,"ma",0.770175438596491
"hyde_reef",1997,"ot",3.40701754385965
"hyde_reef",1997,"sc",39.778947368421
"hyde_reef",1997,"sp",11.1385964912281
"hyde_reef",1997,"ta",11.959649122807
"hyde_reef",1998,"ab",2.23467336683417
"hyde_reef",1998,"ca",8.80234505862647
"hyde_reef",1998,"hc",19.1048576214405
"hyde_reef",1998,"ma",0.666666666666667
"hyde_reef",1998,"ot",3.03400335008375
"hyde_reef",1998,"sc",43.3164154103853
"hyde_reef",1998,"sp",11.3043551088777
"hyde_reef",1998,"ta",11.5701842546064
"hyde_reef",1999,"ab",2.30103092783505
"hyde_reef",1999,"ca",6.07594501718213
"hyde_reef",1999,"hc",18.1340206185567
"hyde_reef",1999,"ma",0.803092783505155
"hyde_reef",1999,"ot",3.0020618556701
"hyde_reef",1999,"sc",47.393470790378
"hyde_reef",1999,"sp",12.5072164948454
"hyde_reef",1999,"ta",9.81752577319588
"hyde_reef",2000,"ab",3.03366296084473
"hyde_reef",2000,"ca",8.8907114908568
"hyde_reef",2000,"hc",18.9204569155806
"hyde_reef",2000,"ma",0.600102498730864
"hyde_reef",2000,"ot",2.86080348772728
"hyde_reef",2000,"sc",43.9207935445647
"hyde_reef",2000,"sp",10.5059619186397
"hyde_reef",2000,"ta",11.8519298251333
"hyde_reef",2001,"ab",1.80477601683632
"hyde_reef",2001,"ca",6.89370121782182
"hyde_reef",2001,"hc",17.7251077974696
"hyde_reef",2001,"ma",0.804078408098509
"hyde_reef",2001,"ot",1.24732975939006
"hyde_reef",2001,"sc",48.8811637831738
"hyde_reef",2001,"sp",9.13776952621174
